"job_id","job_title","company_name","job_location","job_schedule_type","salary_year_avg","job_posted_date","job_work_from_home","skills"
998086,"Data Analyst","Poshmark","Chennai, Tamil Nadu, India","Full-time","111175.0","2023-06-12","","spark"
998086,"Data Analyst","Poshmark","Chennai, Tamil Nadu, India","Full-time","111175.0","2023-06-12","","express"
998086,"Data Analyst","Poshmark","Chennai, Tamil Nadu, India","Full-time","111175.0","2023-06-12","","excel"
998086,"Data Analyst","Poshmark","Chennai, Tamil Nadu, India","Full-time","111175.0","2023-06-12","","looker"
998086,"Data Analyst","Poshmark","Chennai, Tamil Nadu, India","Full-time","111175.0","2023-06-12","","powerpoint"
1578311,"Data Analyst - Food Growth","GoTo Group","Bengaluru, Karnataka, India","Full-time","111175.0","2023-07-21","","sql"
1578311,"Data Analyst - Food Growth","GoTo Group","Bengaluru, Karnataka, India","Full-time","111175.0","2023-07-21","","python"
1643119,"Mobility Data Analyst - IN/MKR","Bosch Group","Bengaluru, Karnataka, India","Full-time","111175.0","2023-08-08","","sql"
1643119,"Mobility Data Analyst - IN/MKR","Bosch Group","Bengaluru, Karnataka, India","Full-time","111175.0","2023-08-08","","python"
1643119,"Mobility Data Analyst - IN/MKR","Bosch Group","Bengaluru, Karnataka, India","Full-time","111175.0","2023-08-08","","r"
1643119,"Mobility Data Analyst - IN/MKR","Bosch Group","Bengaluru, Karnataka, India","Full-time","111175.0","2023-08-08","","azure"
1643119,"Mobility Data Analyst - IN/MKR","Bosch Group","Bengaluru, Karnataka, India","Full-time","111175.0","2023-08-08","","matplotlib"
1643119,"Mobility Data Analyst - IN/MKR","Bosch Group","Bengaluru, Karnataka, India","Full-time","111175.0","2023-08-08","","plotly"
1643119,"Mobility Data Analyst - IN/MKR","Bosch Group","Bengaluru, Karnataka, India","Full-time","111175.0","2023-08-08","","tableau"
1643119,"Mobility Data Analyst - IN/MKR","Bosch Group","Bengaluru, Karnataka, India","Full-time","111175.0","2023-08-08","","power bi"
1643119,"Mobility Data Analyst - IN/MKR","Bosch Group","Bengaluru, Karnataka, India","Full-time","111175.0","2023-08-08","","kubernetes"
